Rank,Country,Score,Economy,Family,Health,Freedom,Generosity,Trust
135,Afghanistan,2.523,0.7695000000000001,0.463,0.52493,0.382,-0.102,0.924
87,Albania,5.117,0.952,0.697,0.68999,0.785,-0.03,0.901
100,Algeria,4.887,0.9342,0.802,0.6600499999999999,0.48,-0.067,0.752
54,Argentina,5.929,0.9962,0.898,0.69,0.828,-0.182,0.834
81,Armenia,5.283,0.9487,0.799,0.6705500000000001,0.825,-0.168,0.629
10,Australia,7.183,1.0796,0.94,0.7390000000000001,0.914,0.159,0.442
9,Austria,7.268,1.0906,0.934,0.733,0.908,0.042,0.481
84,Azerbaijan,5.171,0.9569000000000001,0.836,0.65656,0.814,-0.223,0.506
21,Bahrain,6.647,1.0669,0.862,0.6949500000000001,0.925,0.089,0.722
92,Bangladesh,5.025,0.8454,0.693,0.648,0.877,-0.041,0.682
71,Belarus,5.534,0.9853,0.91,0.66253,0.65,-0.18,0.627
19,Belgium,6.834,1.0823,0.906,0.72199,0.783,-0.153,0.646
91,Benin,5.045,0.8087,0.489,0.54713,0.757,-0.034,0.661
66,Bolivia,5.716,0.9046,0.81,0.6390100000000001,0.875,-0.077,0.839
61,Bosnia and Herzegovina,5.813,0.959,0.87,0.68098,0.706,0.113,0.931
132,Botswana,3.467,0.9782,0.784,0.5926899999999999,0.824,-0.246,0.801
32,Brazil,6.33,0.9577,0.882,0.66601,0.804,-0.071,0.756
83,Bulgaria,5.266,1.0016,0.931,0.67,0.788,-0.096,0.932
104,Burkina Faso,4.834,0.7678,0.672,0.54151,0.695,-0.009,0.748
127,Burundi,3.775,0.6635,0.49,0.534,0.626,-0.024,0.607
105,Cambodia,4.83,0.836,0.765,0.62,0.959,0.034,0.843
85,Cameroon,5.142,0.8189,0.71,0.53515,0.731,0.026,0.848
13,Canada,7.103,1.0776,0.926,0.738,0.915,0.089,0.415
117,Chad,4.355,0.7363999999999999,0.619,0.48478,0.579,0.041,0.807
40,Chile,6.172,1.0070999999999999,0.882,0.7,0.742,-0.044,0.83
79,China,5.339,0.9673,0.811,0.69593,0.904,-0.146,0.755
49,Colombia,6.012,0.9557,0.847,0.68001,0.837,-0.135,0.841
78,Congo (Brazzaville),5.342,0.8117000000000001,0.636,0.58221,0.695,-0.068,0.745
15,Costa Rica,7.069,0.9880000000000001,0.891,0.7140000000000001,0.934,-0.126,0.809
57,Croatia,5.882,1.0217,0.924,0.7079900000000001,0.754,-0.118,0.939
36,Cyprus,6.223,1.0576,0.802,0.73898,0.763,-0.015,0.844
17,Czech Republic,6.965,1.0555999999999999,0.947,0.70807,0.858,-0.208,0.868
1,Denmark,7.62,1.0933,0.954,0.727,0.946,0.03,0.179
70,Dominican Republic,5.545,0.9802,0.853,0.66102,0.86,-0.133,0.714
63,Ecuador,5.764,0.9313,0.821,0.688,0.842,-0.124,0.843
119,Egypt,4.283,0.9367000000000001,0.75,0.61998,0.749,-0.182,0.795
46,El Salvador,6.061,0.9054,0.762,0.66402,0.888,-0.11,0.688
37,Estonia,6.189,1.0481,0.941,0.688,0.909,-0.106,0.527
120,Ethiopia,4.275,0.7694,0.764,0.59,0.752,0.082,0.761
0,Finland,7.842,1.0775000000000001,0.954,0.72,0.949,-0.098,0.186
20,France,6.69,1.0704,0.942,0.74,0.822,-0.147,0.571
103,Gabon,4.852,0.9602999999999999,0.776,0.59962,0.731,-0.2,0.84
99,Georgia,4.891,0.9585000000000001,0.671,0.643,0.783,-0.238,0.655
12,Germany,7.155,1.0873,0.903,0.725,0.875,0.011,0.46
88,Ghana,5.088,0.858,0.727,0.57586,0.807,0.123,0.848
65,Greece,5.723,1.0279,0.823,0.726,0.582,-0.288,0.823
27,Guatemala,6.435,0.9053000000000001,0.813,0.6495799999999999,0.906,-0.038,0.775
93,Guinea,4.984,0.7838,0.639,0.55008,0.697,0.095,0.766
130,Haiti,3.615,0.7477,0.54,0.557,0.593,0.422,0.721
56,Honduras,5.919,0.8648,0.812,0.6729999999999999,0.857,0.081,0.809
50,Hungary,5.992,1.0358,0.943,0.68,0.755,-0.186,0.876
3,Iceland,7.554,1.0878,0.983,0.73,0.955,0.16,0.673
126,India,3.819,0.8755000000000001,0.603,0.60633,0.893,0.089,0.774
77,Indonesia,5.345,0.9365,0.811,0.62236,0.873,0.542,0.867
108,Iran,4.721,0.9583999999999999,0.71,0.6629999999999999,0.608,0.218,0.714
102,Iraq,4.854,0.924,0.746,0.60583,0.63,-0.053,0.875
14,Ireland,7.085,1.1342,0.947,0.7240000000000001,0.879,0.077,0.363
11,Israel,7.157,1.0574999999999999,0.939,0.73503,0.8,0.031,0.753
25,Italy,6.483,1.0623,0.88,0.738,0.693,-0.084,0.866
80,Ivory Coast,5.306,0.8551,0.644,0.5011399999999999,0.741,-0.016,0.794
34,Jamaica,6.309,0.9186,0.877,0.675,0.89,-0.137,0.884
53,Japan,5.94,1.0611000000000002,0.884,0.7509999999999999,0.796,-0.258,0.638
116,Jordan,4.395,0.9182,0.767,0.67,0.755,-0.167,0.705
42,Kazakhstan,6.152,1.0154999999999998,0.952,0.652,0.853,-0.069,0.733
111,Kenya,4.607,0.8361000000000001,0.688,0.60704,0.779,0.287,0.825
30,Kosovo,6.372,0.9318,0.821,0.63813,0.869,0.257,0.917
44,Kuwait,6.106,1.0817,0.843,0.669,0.867,-0.104,0.736
64,Kyrgyzstan,5.744,0.8538,0.893,0.64401,0.935,0.119,0.908
48,Latvia,6.032,1.0314999999999999,0.927,0.6709999999999999,0.715,-0.162,0.8
113,Lebanon,4.584,0.9625999999999999,0.848,0.6735500000000001,0.525,-0.073,0.898
110,Liberia,4.625,0.7288,0.72,0.5649799999999999,0.735,0.05,0.85
75,Libya,5.41,0.9621999999999999,0.827,0.623,0.771,-0.087,0.667
35,Lithuania,6.255,1.0499,0.935,0.6790600000000001,0.773,-0.203,0.826
7,Luxembourg,7.324,1.1647,0.908,0.726,0.907,-0.034,0.386
122,Madagascar,4.208,0.7396,0.686,0.59305,0.552,-0.005,0.803
131,Malawi,3.6,0.6958,0.537,0.57948,0.78,0.038,0.729
76,Malaysia,5.384,1.0238,0.817,0.6710200000000001,0.895,0.125,0.839
107,Mali,4.723,0.7744,0.724,0.51969,0.697,-0.036,0.827
22,Malta,6.602,1.0674,0.931,0.722,0.927,0.133,0.653
121,Mauritania,4.227,0.8542,0.795,0.5716100000000001,0.561,-0.106,0.731
47,Mauritius,6.049,1.0008,0.905,0.6670099999999999,0.867,-0.054,0.789
33,Mexico,6.317,0.9859,0.831,0.68597,0.862,-0.147,0.799
62,Moldova,5.766,0.9454,0.857,0.65699,0.822,-0.079,0.918
67,Mongolia,5.677,0.9400000000000001,0.935,0.625,0.708,0.116,0.856
69,Montenegro,5.581,0.994,0.858,0.68699,0.708,-0.034,0.812
97,Morocco,4.918,0.8903000000000001,0.56,0.66208,0.774,-0.236,0.801
115,Myanmar,4.426,0.8541000000000001,0.779,0.59302,0.876,0.509,0.66
82,Nepal,5.269,0.8119999999999999,0.774,0.6423300000000001,0.782,0.152,0.727
4,Netherlands,7.464,1.0932,0.942,0.7240000000000001,0.913,0.175,0.338
8,New Zealand,7.277,1.0643,0.948,0.7340000000000001,0.929,0.134,0.242
52,Nicaragua,5.972,0.8619999999999999,0.864,0.67657,0.836,0.02,0.664
89,Niger,5.074,0.7098,0.641,0.5378000000000001,0.806,0.018,0.693
106,Nigeria,4.759,0.8533,0.74,0.50102,0.737,0.037,0.878
5,Norway,7.392,1.1053000000000002,0.954,0.733,0.96,0.093,0.27
96,Pakistan,4.934,0.8458,0.651,0.58709,0.726,0.098,0.787
114,Palestinian Territories,4.517,0.8484999999999999,0.826,0.6225,0.653,-0.163,0.821
38,Panama,6.18,1.035,0.896,0.69652,0.872,-0.166,0.856
68,Paraguay,5.653,0.9448000000000001,0.893,0.659,0.876,0.028,0.882
60,Peru,5.84,0.9458,0.832,0.6825,0.822,-0.154,0.891
58,Philippines,5.88,0.9076000000000001,0.83,0.62,0.917,-0.097,0.742
41,Poland,6.166,1.0382,0.898,0.69702,0.841,-0.165,0.735
55,Portugal,5.929,1.0421,0.879,0.726,0.892,-0.244,0.887
43,Romania,6.14,1.0284,0.832,0.6735500000000001,0.845,-0.219,0.938
72,Russia,5.477,1.0189,0.903,0.64703,0.718,-0.111,0.845
133,Rwanda,3.415,0.7676000000000001,0.552,0.614,0.897,0.061,0.167
23,Saudi Arabia,6.494,1.0743,0.891,0.6660299999999999,0.877,-0.149,0.684
86,Senegal,5.132,0.8118000000000001,0.71,0.59802,0.695,-0.046,0.801
45,Serbia,6.078,0.9787000000000001,0.873,0.6859999999999999,0.778,0.002,0.835
125,Sierra Leone,3.849,0.7434000000000001,0.63,0.51651,0.717,0.084,0.866
29,Singapore,6.377,1.1488,0.915,0.76953,0.927,-0.018,0.082
31,Slovakia,6.331,1.0369,0.936,0.6920099999999999,0.766,-0.124,0.911
26,Slovenia,6.461,1.0529,0.948,0.7140000000000001,0.949,-0.101,0.806
94,South Africa,4.956,0.9403,0.86,0.56904,0.749,-0.067,0.86
59,South Korea,5.845,1.0651,0.799,0.7390000000000001,0.672,-0.083,0.727
24,Spain,6.491,1.0571,0.932,0.747,0.761,-0.081,0.745
118,Sri Lanka,4.325,0.9470000000000001,0.827,0.6729900000000001,0.841,0.079,0.863
6,Sweden,7.363,1.0867,0.934,0.727,0.945,0.086,0.237
2,Switzerland,7.571,1.1117000000000001,0.942,0.7440000000000001,0.919,0.025,0.292
73,Tajikistan,5.466,0.8090999999999999,0.86,0.6428100000000001,0.832,-0.056,0.553
129,Tanzania,3.623,0.7876000000000001,0.702,0.57999,0.833,0.183,0.577
51,Thailand,5.985,0.9804999999999999,0.888,0.67401,0.884,0.287,0.895
123,Togo,4.107,0.7362,0.569,0.54914,0.619,0.032,0.772
112,Tunisia,4.596,0.9266,0.691,0.6720099999999999,0.656,-0.201,0.87
95,Turkey,4.948,1.024,0.822,0.67199,0.576,-0.139,0.776
90,Turkmenistan,5.066,0.9629,0.983,0.62409,0.877,0.273,0.888
109,Uganda,4.636,0.7676999999999999,0.781,0.56101,0.709,0.122,0.855
101,Ukraine,4.875,0.9436,0.888,0.64902,0.724,-0.011,0.924
16,United Kingdom,7.064,1.0707,0.934,0.725,0.859,0.233,0.459
18,United States,6.951,1.1023,0.92,0.682,0.837,0.098,0.698
28,Uruguay,6.431,0.9965999999999999,0.925,0.691,0.896,-0.092,0.59
39,Uzbekistan,6.179,0.8836,0.918,0.65255,0.97,0.311,0.515
98,Venezuela,4.892,0.9073,0.861,0.667,0.615,-0.169,0.827
74,Vietnam,5.411,0.8973000000000001,0.85,0.6803400000000001,0.94,-0.098,0.796
128,Yemen,3.658,0.7578,0.832,0.57122,0.602,-0.147,0.8
124,Zambia,4.073,0.8145,0.708,0.55809,0.782,0.061,0.823
134,Zimbabwe,3.145,0.7943,0.75,0.56201,0.677,-0.047,0.821
